# 10 seconds đầu
relative_time_s,packet_id,device_timestamp_us,emg
176.495704,261479,176495716,930
176.496380,261480,176496392,930
176.497056,261481,176497068,930
176.497728,261482,176497740,930
176.498404,261483,176498416,930
176.499080,261484,176499092,930
176.499756,261485,176499768,930
176.500428,261486,176500440,930
176.501104,261487,176501116,930
176.501780,261488,176501792,930
176.502456,261489,176502468,930
176.503128,261490,176503140,930
176.503812,261491,176503824,930
176.504480,261492,176504492,930
176.505156,261493,176505168,930
176.505828,261494,176505840,930
176.506504,261495,176506516,930
176.507180,261496,176507192,930
176.507856,261497,176507868,930
176.508528,261498,176508540,930
176.509204,261499,176509216,929
176.509880,261500,176509892,928
176.510556,261501,176510568,919
176.511228,261502,176511240,907
176.511904,261503,176511916,895
176.512580,261504,176512592,884
176.513256,261505,176513268,872
176.513928,261506,176513940,861
176.514604,261507,176514616,849
176.515280,261508,176515292,837
176.515956,261509,176515968,826
176.516628,261510,176516640,912
176.517304,261511,176517316,930
176.517980,261512,176517992,930
176.518656,261513,176518668,930
176.519328,261514,176519340,930
176.520004,261515,176520016,930
176.520680,261516,176520692,930
176.521356,261517,176521368,930
176.522028,261518,176522040,930
176.522704,261519,176522716,930
176.523380,261520,176523392,930
176.524056,261521,176524068,930
176.524728,261522,176524740,928
176.525404,261523,176525416,921
176.526080,261524,176526092,912
176.526756,261525,176526768,902
176.527428,261526,176527440,893
176.528104,261527,176528116,883
176.528780,261528,176528792,873
176.529456,261529,176529468,863
176.530128,261530,176530140,852
176.530804,261531,176530816,842
176.531480,261532,176531492,831
176.532156,261533,176532168,820
176.532828,261534,176532840,810
176.533512,261535,176533524,799
176.534180,261536,176534192,789
176.534856,261537,176534868,778
176.535528,261538,176535540,828
176.536204,261539,176536216,930
176.536880,261540,176536892,930
176.537556,261541,176537568,930
176.538228,261542,176538240,930
176.538904,261543,176538916,931
176.539580,261544,176539592,931
176.540256,261545,176540268,931
176.540928,261546,176540940,931
176.541604,261547,176541616,930
176.542280,261548,176542292,930
176.542956,261549,176542968,930
176.543628,261550,176543640,930
176.544304,261551,176544316,930
176.544980,261552,176544992,930
176.545656,261553,176545668,930
176.546328,261554,176546340,930
176.547004,261555,176547016,930
176.547680,261556,176547692,930
176.548356,261557,176548368,930
176.549028,261558,176549040,930
176.549704,261559,176549716,930
176.550380,261560,176550392,930
176.551056,261561,176551068,928
176.551728,261562,176551740,917
176.552404,261563,176552416,905
176.553080,261564,176553092,893
176.553756,261565,176553768,881
176.554428,261566,176554440,870
176.555104,261567,176555116,858
176.555780,261568,176555792,846
176.556456,261569,176556468,835
176.557128,261570,176557140,900
176.557804,261571,176557816,915
176.558480,261572,176558492,908
176.559156,261573,176559168,905
176.559828,261574,176559840,902
176.560504,261575,176560516,897
176.561180,261576,176561192,891
176.561856,261577,176561868,885
176.562528,261578,176562540,878
176.563208,261579,176563220,870
176.563880,261580,176563892,862
176.564556,261581,176564568,854
176.565228,261582,176565240,845
176.565904,261583,176565916,836
176.566580,261584,176566592,827
176.567256,261585,176567268,817
176.567928,261586,176567940,808
176.568604,261587,176568616,798
176.569280,261588,176569292,788
176.569956,261589,176569968,779
176.570628,261590,176570640,768
176.571304,261591,176571316,758
176.571980,261592,176571992,749
176.572656,261593,176572668,739
176.573328,261594,176573340,728
176.574004,261595,176574016,719
176.574680,261596,176574692,895
176.575356,261597,176575368,930
176.576028,261598,176576040,930
176.576704,261599,176576716,931
176.577380,261600,176577392,930
176.578056,261601,176578068,931
176.578728,261602,176578740,931
176.579404,261603,176579416,931
176.580080,261604,176580092,931
176.580756,261605,176580768,930
176.581428,261606,176581440,931
176.582104,261607,176582116,931
176.582780,261608,176582792,930
176.583456,261609,176583468,930
176.584128,261610,176584140,930
176.584804,261611,176584816,930
176.585480,261612,176585492,931
176.586156,261613,176586168,930
176.586828,261614,176586840,930
176.587504,261615,176587516,930
176.588180,261616,176588192,930
176.588856,261617,176588868,930
176.589528,261618,176589540,930
176.590204,261619,176590216,930
176.590880,261620,176590892,930
176.591556,261621,176591568,930
176.592228,261622,176592240,929
176.592904,261623,176592916,926
176.593580,261624,176593592,914
176.594256,261625,176594268,901
176.594928,261626,176594940,889
176.595604,261627,176595616,877
176.596280,261628,176596292,865
176.596956,261629,176596968,853
176.597628,261630,176597640,841
176.598304,261631,176598316,829
176.598980,261632,176598992,817
176.599656,261633,176599668,806
176.600328,261634,176600340,794
176.601004,261635,176601016,783
176.601680,261636,176601692,771
176.602356,261637,176602368,760
176.603028,261638,176603040,790
176.603704,261639,176603716,904
176.604380,261640,176604392,902
176.605056,261641,176605068,904
176.605728,261642,176605740,906
176.606404,261643,176606416,907
176.607080,261644,176607092,906
176.607756,261645,176607768,905
176.608428,261646,176608440,902
176.609104,261647,176609116,897
176.609780,261648,176609792,892
176.610456,261649,176610468,886
176.611128,261650,176611140,879
176.611804,261651,176611816,872
176.612480,261652,176612492,864
176.613156,261653,176613168,856
176.613828,261654,176613840,847
176.614504,261655,176614516,839
176.615180,261656,176615192,829
176.615856,261657,176615868,821
176.616528,261658,176616540,930
176.617204,261659,176617216,930
176.617880,261660,176617892,930
176.618556,261661,176618568,930
176.619228,261662,176619240,930
176.619904,261663,176619916,930
176.620580,261664,176620592,930
176.621256,261665,176621268,930
176.621928,261666,176621940,930
176.622604,261667,176622616,930
176.623280,261668,176623292,930
176.623956,261669,176623968,929
176.624636,261670,176624648,928
176.625304,261671,176625316,921
176.625980,261672,176625992,912
176.626656,261673,176626668,903
176.627328,261674,176627340,893
176.628004,261675,176628016,883
176.628680,261676,176628692,873
176.629356,261677,176629368,863
176.630028,261678,176630040,853
176.630704,261679,176630716,842
176.631380,261680,176631392,832
176.632056,261681,176632068,821
176.632728,261682,176632740,811
176.633404,261683,176633416,800
176.634080,261684,176634092,789
176.634756,261685,176634768,779
176.635428,261686,176635440,880
176.636104,261687,176636116,931
176.636780,261688,176636792,930
176.637456,261689,176637468,931
176.638128,261690,176638140,930
176.638804,261691,176638816,930
176.639480,261692,176639492,931
176.640156,261693,176640168,931
176.640828,261694,176640840,931
176.641504,261695,176641516,930
176.642180,261696,176642192,930
176.642856,261697,176642868,931
176.643528,261698,176643540,930
176.644204,261699,176644216,930
176.644880,261700,176644892,931
176.645556,261701,176645568,930
176.646228,261702,176646240,931
176.646904,261703,176646916,931
176.647580,261704,176647592,930
176.648256,261705,176648268,930
176.648928,261706,176648940,930
176.649604,261707,176649616,930
176.650280,261708,176650292,930
176.650956,261709,176650968,930
176.651628,261710,176651640,930
176.652304,261711,176652316,930
176.652980,261712,176652992,928
176.653656,261713,176653668,917
176.654336,261714,176654348,904
176.655004,261715,176655016,892
176.655680,261716,176655692,879
176.656356,261717,176656368,867
176.657028,261718,176657040,855
176.657704,261719,176657716,843
